iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,30-Apr-24,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"45,450,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"59,109,344.48",0.45,"59,109,344.48","103,934.00",568.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
LIN,LINDE PLC,Materials,Equity,"57,549,689.60",0.44,"57,549,689.60","130,510.00",440.96,United States,NASDAQ,USD,1,USD,-
WFC,WELLS FARGO,Financials,Equity,"57,548,408.20",0.44,"57,548,408.20","970,135.00",59.32,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"56,305,583.65",0.43,"56,305,583.65","121,655.00",462.83,United States,NASDAQ,USD,1,USD,-
DIS,WALT DISNEY,Communication,Equity,"54,731,970.70",0.42,"54,731,970.70","492,637.00",111.1,United States,New York Stock Exchange Inc.,USD,1,USD,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"53,649,902.64",0.41,"53,649,902.64","196,491.00",273.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"51,321,045.96",0.39,"51,321,045.96","1,092,402.00",46.98,United States,NASDAQ,USD,1,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"51,240,158.44",0.39,"51,240,158.44","170,284.00",300.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"49,870,265.75",0.38,"49,870,265.75","300,695.00",165.85,United States,NASDAQ,USD,1,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"49,423,030.39",0.38,"49,423,030.39","466,387.00",105.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
ORCL,ORACLE CORP,Information Technology,Equity,"47,180,315.00",0.36,"47,180,315.00","414,772.00",113.75,United States,New York Stock Exchange Inc.,USD,1,USD,-
GE,GE AEROSPACE,Industrials,Equity,"47,175,870.06",0.36,"47,175,870.06","291,533.00",161.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
INTU,INTUIT INC,Information Technology,Equity,"46,073,784.90",0.35,"46,073,784.90","73,645.00",625.62,United States,NASDAQ,USD,1,USD,-
CAT,CATERPILLAR INC,Industrials,Equity,"45,902,000.29",0.35,"45,902,000.29","137,197.00",334.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"44,751,872.00",0.34,"44,751,872.00","225,280.00",198.65,United States,NASDAQ,USD,1,USD,-
